image_id,area,area_bbox,area_convex,area_filled,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,intensity_max,intensity_mean,intensity_min,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,moments_weighted_hu-0,moments_weighted_hu-1,moments_weighted_hu-2,moments_weighted_hu-3,moments_weighted_hu-4,moments_weighted_hu-5,moments_weighted_hu-6,perimeter,perimeter_crofton,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1
B19,943.0,4108.5,1106.0,943.0,123.57054889842797,10.548066748961663,0.9965732778908765,34.65012459878295,1.0,0.22899001265467883,116.77151349254108,0.027031357289997712,0.014111309125008837,0.005828946364538033,1.043106581543079,1.0608063640769294,0.004375421247326537,0.0012434355137904076,1.099837189002441e-06,0.0006630068292623901,7.50208448435242e-08,74.04720488935453,5253.6389514321345,7588.008982581907,5412.063805012073,36281778.7526537,369653.0622188247,-244015.60000207604,247.95993847044718,238.05680400516877,0.8492879746835442,955.4182128765362,6.961393389528737
C08,992.0,4017.0,2320.0,992.0,105.01897793833349,31.627364653452634,0.9621864953238339,35.539465786323824,1.0,0.2709810874704492,94.13288479590966,0.03057907988097963,0.014241209218975018,0.005752651255054551,0.7929470457263261,0.4552631137171742,0.08567782643805429,0.018319237479001084,6.545398322820797e-05,0.0007387901088028442,2.253233713986366e-05,50.73258062302614,1876.3183973253829,31037.40838639458,6120.538317367013,4518897.054612193,69498.2678107359,131317.93146892055,261.03657992645924,250.15971318704044,0.4745098039215686,689.311607950761,62.51813718265407
A19,1007.0,5570.0,1256.0,1007.0,132.80418081977274,10.995166672381181,0.9963435313446138,35.80520643037096,1.0,0.19481290587485278,125.00783977421969,0.03383688105592431,0.017056989860911313,0.005264362554360266,1.1010979822870666,1.1823463973569672,0.004465287573828806,0.0018082778820793029,1.1242592804279705e-06,0.0003860948182701899,-1.1918395284566777e-07,73.85722411877973,5305.487453796757,9226.734523120092,6673.665822287134,46964025.26209994,423909.3657529593,-1899.3357292498763,265.28279195104676,256.8471575575595,0.8124666381390588,1102.3178391174206,7.5570204903481795
A17,1003.5,3452.0,1205.0,1003.5,130.924845436792,10.653125275215917,0.9966955009284753,35.74473790334929,1.0,0.25672617660764213,125.74226245988532,0.028221560997940032,0.014100784939594628,0.004592965590905622,1.0276169165121818,1.0291960426947473,0.005840311810566873,0.0017643800879140665,2.4878573174979393e-06,0.0006714605078263071,-2.5842594555685193e-07,83.63433787240692,6756.897320687416,11922.301041238956,9432.248373153616,109891943.53645414,702894.5963250267,-7180.150784199711,267.734541726031,257.0819836548636,0.8344330976343067,1071.5456363012736,7.093067384968652
C14,986.0,7068.0,1223.0,986.0,132.2627680205698,10.362721896044697,0.9969131539005456,35.43182455235505,1.0,0.13383333333333333,125.73384588089239,0.02618448157473106,0.012093886500430738,0.004150453955901427,1.1245485155076778,1.2350835305341998,0.010816170754344781,0.0020749977635830664,1.8031720435125406e-06,-0.00037039116833832253,2.266077267554032e-06,95.50680086013534,8748.100687536438,58065.8585210572,39343.46317131474,1872939550.0100977,2767755.383588989,102463.4552800837,266.9604614807105,255.7759050691186,0.8335820895522388,1093.3399877789413,6.711625318422762
B05,1036.0,4853.5,1890.0,1036.0,116.18919167457784,23.59556151539206,0.9798674432016227,36.318745582868715,1.0,0.19738120571636694,105.27808512453245,0.03301289387350271,0.01591469942291566,0.006149385824368658,0.8751233989752878,0.6550931918645357,0.036488726406555164,0.008504804398900083,-4.928321026999215e-07,-0.00029824412894754136,-3.59510515939377e-05,55.24617085794108,2875.740366180807,13603.395791805717,1955.7277373930174,-501761.2306241117,-13460.020778873766,-6664.656305057935,261.63455967290594,250.72663353595104,0.5914318190092105,843.745821853838,35.87237091155026
D11,966.0,3328.0,1807.0,966.0,113.76642649807108,26.199175862966932,0.9687977665812598,35.070634442709576,1.0,0.31587301587301586,106.17438485811914,0.026550698100251773,0.013116303876782276,0.004882887006942855,0.8024416014425905,0.5029938161923793,0.07875728651374611,0.011926547099811087,-1.7907433268670656e-05,-0.002264830244001601,-5.550715264382746e-08,56.75278871075052,2456.064579284011,30242.069689782933,8995.501791277686,16945130.909903,35584.23423741863,-18230.11836425414,254.63455967290594,244.09021739317137,0.5257595772787318,808.9249873838132,42.899800993666815
A03,937.0,3969.0,1679.0,940.0,107.27623158760426,26.536486547964866,0.9737481413215062,34.54020054106298,1.0,0.19612244897959183,99.15644204992432,0.028732738231479364,0.014440303454417425,0.006301976043335622,0.8386526219681273,0.6122390987757662,0.015810215493051522,0.00485291120397561,4.5292571861976453e-07,0.00030187535602391494,1.7964472204609974e-10,60.12280900954882,3013.8264956775174,6624.402318679054,1679.6957268847111,76785.9614741103,9301.218131190417,443108.1697563231,250.52186130069785,241.38558036855537,0.5904416212946159,719.2618664773314,44.01156989439502
B24,1023.0,4165.0,1162.0,1023.0,132.96030130547794,9.953503936647978,0.9971033376574007,36.09049811604256,1.0,0.24671852211959164,128.09761902549164,0.024658579385061417,0.012561843199644006,0.0035553521019302666,1.1392759284670728,1.2601062126859095,0.00797293586349673,0.002941156545823298,5.347436566349263e-07,0.00026641271219612987,2.2988570162134253e-09,109.88491671220484,11782.171511611225,26610.743008737096,21390.939542560904,510012483.05260223,2218891.5655547576,-153133.5799455475,276.5096679918781,264.8291205321828,0.8517350157728707,1104.9026077027174,6.192015038554175
A24,964.5,6099.0,1203.0,964.5,131.48186607230923,10.33163802049896,0.9969374353705606,35.04313023496985,1.0,0.15232013858174848,126.83925890876807,0.029159990844586862,0.012786400561502154,0.004295414663920042,1.0750265983896674,1.1257692301359015,0.007180633687356117,0.0014820207114707835,3.7314561671976276e-07,0.0003946300837073743,7.247059721785577e-10,94.80316458079344,8742.311049487162,24049.751709516255,21745.1214736173,501318982.0005538,2051299.3113991749,445109.7759578929,273.75230867899734,262.2149799814049,0.8348564202181512,1080.474560310927,6.671938159271725
